Author,Movie,Userscore
Spangle,good-time,6
Compi24,the-hitmans-bodyguard,7
Spangle,personal-shopper,8
Spangle,a-ghost-story,8
Compi24,war-for-the-planet-of-the-apes,9
Spangle,the-big-sick,8
Compi24,annabelle-creation,6
devo-nc,the-big-sick,8
Compi24,the-big-sick,8
Compi24,pirates-of-the-caribbean-dead-men-tell-no-tales,6
Compi24,the-dark-tower,6
devo-nc,pirates-of-the-caribbean-dead-men-tell-no-tales,6
Compi24,everything-everything,6
Compi24,spider-man-homecoming,8
Compi24,going-in-style,6
Spangle,baby-driver,6
Spangle,wonder-woman,6
Spangle,colossal,8
Compi24,free-fire,7
Compi24,the-mummy-2017,6
Compi24,colossal,6
Compi24,gifted,8
Spangle,a-quiet-passion,6
Spangle,free-fire,7
Spangle,their-finest,7
Spangle,norman-the-moderate-rise-and-tragic-fall-of-a-new-york-fixer,6
Compi24,baby-driver,8
Spangle,the-lost-city-of-z,8
Compi24,t2-trainspotting,7
Spangle,the-lego-batman-movie,8
Compi24,the-lego-batman-movie,8
Compi24,wonder-woman,9
Spangle,t2-trainspotting,6
Compi24,life-2017,7
Spangle,kong-skull-island,7
Compi24,kong-skull-island,7
Spangle,a-united-kingdom,8
Compi24,a-united-kingdom,8
Compi24,john-wick-chapter-2,8
devo-nc,life-2017,6
Compi24,guardians-of-the-galaxy-vol-2,7
Spangle,a-cure-for-wellness,8
Spangle,the-great-wall,7
Spangle,life-2017,7
Moviebuffreview,la-la-land,10
Compi24,split,8
Spangle,split,7
devo-nc,la-la-land,10
Spangle,the-founder,7
Broyax,kong-skull-island,6
Spangle,paterson,8
Spangle,20th-century-women,7
Spangle,get-out,6
Compi24,patriots-day,10
Spangle,john-wick-chapter-2,7
devo-nc,guardians-of-the-galaxy-vol-2,6
Spangle,a-monster-calls,8
Compi24,a-monster-calls,7
Compi24,get-out,7
Spangle,silence,8
Broyax,john-wick-chapter-2,7
Spangle,guardians-of-the-galaxy-vol-2,7
peraveen,passengers-2016,10
Compi24,alien-covenant,6
Spangle,jackie,9
Spangle,alien-covenant,6
Spangle,allied,8
Compi24,doctor-strange,7
devo-nc,moonlight-2016,7
devo-nc,logan-2017,6
Spangle,fences,8
Spangle,moonlight-2016,8
Spangle,bleed-for-this,6
Spangle,the-edge-of-seventeen,9
Compi24,logan-2017,10
Spangle,frank-lola,6
aadityamudhar,the-eagle-huntress,10
Spangle,loving,7
Spangle,hacksaw-ridge,8
Compi24,hacksaw-ridge,8
Spangle,the-handmaiden,8
Spangle,the-light-between-oceans,8
Spangle,nocturnal-animals,7
devo-nc,fantastic-beasts-and-where-to-find-them,6
Compi24,the-accountant,7
Compi24,deepwater-horizon,10
Spangle,deepwater-horizon,7
Spangle,little-men,6
Spangle,florence-foster-jenkins,7
Compi24,sully,7
Spangle,the-accountant,6
Compi24,hell-or-high-water,8
MovieGuys,anthropoid,8
Spangle,morris-from-america,6
Spangle,anthropoid,6
Spangle,hell-or-high-water,8
sinadoom,jason-bourne,8
Spangle,cafe-society,7
Spangle,our-kind-of-traitor,8
Spangle,complete-unknown,7
Compi24,sausage-party,6
Compi24,jason-bourne,7
Spangle,nerve,8
Broyax,logan-2017,6
Compi24,nerve,7
Broyax,sully,9
Spangle,captain-fantastic,7
Compi24,kubo-and-the-two-strings,7
Compi24,lights-out,7
Compi24,captain-fantastic,7
Spangle,lights-out,8
Spangle,free-state-of-jones,7
Spangle,the-shallows,7
Spangle,kubo-and-the-two-strings,7
Spangle,the-conjuring-2,7
Spangle,arrival,9
Spangle,the-neon-demon,9
Compi24,arrival,10
Spangle,captain-america-civil-war,6
Compi24,captain-america-civil-war,9
Compi24,the-shallows,6
Spangle,maggies-plan,7
Compi24,the-nice-guys,7
Spangle,the-nice-guys,9
Spangle,baskin,7
devo-nc,the-conjuring-2,7
Compi24,the-conjuring-2,9
Spangle,born-to-be-blue,7
aadityamudhar,warcraft,7
Broyax,the-shallows,6
Compi24,suicide-squad,8
Compi24,keanu,7
MovieGuys,captain-america-civil-war,6
MovieGuys,the-nice-guys,8
aadityamudhar,green-room,9
Spangle,the-lobster,7
devo-nc,the-nice-guys,7
Spangle,green-room,8
Spangle,whiskey-tango-foxtrot,6
Spangle,eye-in-the-sky,8
Spangle,45-years,8
Compi24,eye-in-the-sky,8
Spangle,elvis-nixon,7
aadityamudhar,eye-in-the-sky,7
Compi24,10-cloverfield-lane,8
Spangle,midnight-special,8
Spangle,10-cloverfield-lane,8
MovieGuys,10-cloverfield-lane,9
Spangle,triple-9,7
aadityamudhar,kung-fu-panda-3,7
Spangle,hail-caesar!,8
Compi24,hail-caesar!,7
Spangle,joy,6
devo-nc,fifty-shades-of-black,10
Spangle,phoenix,8
Broyax,ip-man-3,6
devo-nc,joy,10
duckhost,10-cloverfield-lane,9
devo-nc,the-hunger-games-mockingjay---part-2,7
Spangle,carol,9
Spangle,brooklyn,8
Compi24,the-hunger-games-mockingjay---part-2,7
aadityamudhar,10-cloverfield-lane,9
Spangle,the-big-short,8
Compi24,the-big-short,7
MovieGuys,the-big-short,9
Compi24,brooklyn,7
Spangle,spotlight,8
Compi24,star-wars-episode-vii---the-force-awakens,9
Moviebuffreview,the-good-dinosaur,6
devo-nc,captain-america-civil-war,7
Spangle,suffragette,7
Compi24,the-good-dinosaur,7
Spangle,chi-raq,8
devo-nc,the-hateful-eight,7
aadityamudhar,the-hunger-games-mockingjay---part-2,7
Compi24,everest,7
Broyax,the-big-short,6
Spangle,everest,7
Spangle,bone-tomahawk,7
Spangle,the-hateful-eight,7
Spangle,bridge-of-spies,7
Compi24,the-visit-2015,6
Compi24,ghostbusters-2016,7
aadityamudhar,spotlight,10
aadityamudhar,sicario,8
Spangle,the-visit-2015,6
MovieGuys,bridge-of-spies,8
Spangle,a-christmas-horror-story,6
Spangle,ricki-and-the-flash,6
Spangle,ghostbusters-2016,8
Spangle,mississippi-grind,7
Compi24,the-man-from-uncle,7
Spangle,sicario,9
aadityamudhar,the-hateful-eight,8
aadityamudhar,shes-funny-that-way,6
Spangle,american-ultra,6
Spangle,the-man-from-uncle,8
devo-nc,inside-out-2015,10
aadityamudhar,star-wars-episode-vii---the-force-awakens,8
Compi24,sicario,7
Compi24,me-and-earl-and-the-dying-girl,10
devo-nc,spectre,7
Compi24,the-gift-2015,7
Spangle,me-and-earl-and-the-dying-girl,8
Spangle,the-gift-2015,8
MovieGuys,san-andreas,7
Compi24,inside-out-2015,8
Compi24,cinderella,6
Spangle,inside-out-2015,9
Spangle,the-age-of-adaline,6
Broyax,the-riot-club,6
Spangle,cinderella,8
Compi24,tomorrowland,6
Spangle,two-days-one-night,8
aadityamudhar,batman-v-superman-dawn-of-justice,7
devo-nc,mad-max-fury-road,9
aadityamudhar,spectre,6
Compi24,the-water-diviner,7
Spangle,what-we-do-in-the-shadows,6
Marick,furious-7,10
Spangle,the-big-chill,7
MovieGuys,unfriended,7
Compi24,payback,6
Compi24,furious-7,8
Spangle,71,7
duckhost,warcraft,6
Spangle,slow-west,7
Spangle,the-game,8
Spangle,it-follows,10
Compi24,the-game,8
Spangle,clouds-of-sils-maria,8
MovieManiac83,the-game,9
Broyax,the-game,9
Spangle,mad-max-fury-road,8
Spangle,focus-2015,6
Marick,focus-2015,8
Spangle,blackhat,7
aaronpaul121,love-rosie,8
MovieGuys,selma,9
Spangle,mr-turner,6
Spangle,a-girl-walks-home-alone-at-night,7
Spangle,inherent-vice,8
Spangle,big-eyes,7
Compi24,ex-machina,7
Compi24,big-eyes,8
Spangle,ex-machina,8
Broyax,big-eyes,7
Spangle,the-breakfast-club,8
Spangle,selma,9
Compi24,the-breakfast-club,6
MovieGuys,the-breakfast-club,8
Spangle,top-five,8
Compi24,exodus-gods-and-kings,7
aadityamudhar,mad-max-fury-road,10
Compi24,foxcatcher,8
Broyax,ex-machina,6
MovieGuys,into-the-woods,9
Spangle,the-homesman,6
Broyax,pioneer,6
Spangle,the-babadook,9
Compi24,horrible-bosses-2,6
MovieGuys,the-hunger-games-mockingjay---part-1,7
Compi24,mad-max-fury-road,9
joao1198pedro,dumb-and-dumber-to,8
MovieGuys,whiplash,10
Spangle,foxcatcher,6
MovieGuys,the-theory-of-everything,8
Spangle,predestination,8
Compi24,the-theory-of-everything,8
aadityamudhar,predestination,8
Spangle,before-i-go-to-sleep,7
Spangle,coherence,8
Spangle,into-the-woods,8
Spangle,fury,7
Compi24,the-hunger-games-mockingjay---part-1,7
Spangle,the-theory-of-everything,8
Marick,fury,8
Spangle,honeymoon,7
MovieGuys,the-judge,7
Spangle,whiplash,8
Compi24,the-hobbit-the-battle-of-the-five-armies,8
Compi24,whiplash,10
MovieGuys,the-interview,7
Compi24,big-hero-6,8
Spangle,get-on-up,6
Spangle,gone-girl,8
MovieManiac83,the-hobbit-the-battle-of-the-five-armies,8
joao1198pedro,the-hunger-games-mockingjay---part-1,7
Spangle,the-guest,8
Compi24,the-guest,7
MovieGuys,the-equalizer,7
MovieGuys,the-november-man,6
MovieGuys,the-hundred-foot-journey,9
Marick,lets-be-cops,7
Spangle,happy-christmas,7
Compi24,the-equalizer,10
aadityamudhar,the-hobbit-the-battle-of-the-five-armies,7
Compi24,gone-girl,8
Compi24,fury,9
aadityamudhar,whiplash,10
aadityamudhar,the-hunger-games-mockingjay---part-1,7
devo-nc,gone-girl,8
Spangle,begin-again,7
Spangle,cold-in-july,8
aadityamudhar,fury,7
MovieGuys,chef,10
Spangle,chef,7
Compi24,neighbors,8
Spangle,the-rover,7
Compi24,dawn-of-the-planet-of-the-apes,8
Spangle,ida,8
Spangle,the-railway-man,7
Spangle,filth,6
Marick,a-million-ways-to-die-in-the-west,6
Spangle,only-lovers-left-alive,9
Spangle,blue-ruin,8
Compi24,x-men-days-of-future-past,8
MovieGuys,neighbors,7
Spangle,locke,8
MovieGuys,gone-girl,9
MovieManiac83,gone-girl,8
MovieGuys,mad-max-fury-road,8
Spangle,the-fault-in-our-stars,7
aadityamudhar,gone-girl,8
aadityamudhar,neighbors,7
Spangle,dawn-of-the-planet-of-the-apes,8
MovieGuys,rob-the-mob,7
Compi24,oculus,6
Compi24,snowpiercer,7
Broyax,capital,7
MovieGuys,devils-knot,6
MovieGuys,walk-of-shame,6
aadityamudhar,devils-knot,10
Spangle,enemy,8
Spangle,oculus,7
MovieGuys,jack-ryan-shadow-recruit,8
MovieManiac83,dawn-of-the-planet-of-the-apes,8
Compi24,non-stop-2014,6
MovieGuys,3-days-to-kill,7
MovieGuys,non-stop-2014,8
Compi24,the-lego-movie,9
Compi24,noah,6
MovieGuys,the-grand-budapest-hotel,9
Spangle,the-monuments-men,7
Spangle,noah,7
Compi24,lone-survivor,9
Broyax,300-rise-of-an-empire,7
Spangle,philomena,8
Compi24,august-osage-county,8
MovieGuys,philomena,9
Compi24,robocop-2013,7
MovieGuys,august-osage-county,7
MovieGuys,homefront,6
MovieGuys,saving-mr-banks,7
Spangle,the-secret-life-of-walter-mitty,6
Compi24,out-of-the-furnace,7
Compi24,the-secret-life-of-walter-mitty,7
aadityamudhar,the-lego-movie,9
Spangle,out-of-the-furnace,6
devo-nc,saving-mr-banks,7
axelkoch,inside-llewyn-davis,8
Spangle,saving-mr-banks,8
Compi24,saving-mr-banks,8
Compi24,anchorman-2-the-legend-continues,8
Compi24,godzilla-2014,9
MovieGuys,anchorman-2-the-legend-continues,7
aadityamudhar,the-secret-life-of-walter-mitty,6
Spangle,the-lego-movie,8
JohnnyStephens,the-counselor,6
Spangle,inside-llewyn-davis,7
Compi24,dallas-buyers-club,8
Spangle,all-is-lost,7
Compi24,youre-next,7
MovieGuys,dallas-buyers-club,10
MovieGuys,all-is-lost,9
Spangle,the-counselor,8
JohnnyStephens,the-wolf-of-wall-street,9
Spangle,short-term-12,9
MovieGuys,enough-said,7
Spangle,american-hustle,8
Spangle,the-spectacular-now,9
Compi24,enders-game,7
Spangle,dallas-buyers-club,7
Spangle,godzilla-2014,7
Spangle,youre-next,7
MovieGuys,lee-daniels-the-butler,10
aadityamudhar,the-spectacular-now,8
Compi24,riddick,7
Moviebuffreview,american-hustle,10
Compi24,the-hobbit-the-desolation-of-smaug,9
MovieGuys,prisoners,9
Spangle,the-hunt,8
Compi24,the-wolf-of-wall-street,9
MovieGuys,american-hustle,9
MovieGuys,carrie,6
MovieGuys,red-2,7
JohnnyStephens,jobs,7
JohnnyStephens,fast-furious-6,6
Spangle,enders-game,6
Compi24,frozen-2013,7
Compi24,prisoners,10
MovieGuys,jobs,6
Spangle,the-wolf-of-wall-street,8
Spangle,prisoners,8
Compi24,fast-furious-6,7
Compi24,american-hustle,9
Compi24,the-wolverine,8
Spangle,passion,7
Spangle,frances-ha,7
Marick,despicable-me-2,9
devo-nc,the-hobbit-the-desolation-of-smaug,8
joao1198pedro,the-wolf-of-wall-street,10
JohnnyStephens,grown-ups-2,10
Broyax,a-hijacking,6
Compi24,man-of-steel,10
Spangle,europa-report,7
MovieGuys,white-house-down,8
Marick,fast-furious-6,8
aadityamudhar,american-hustle,7
axelkoch,frozen-2013,7
Compi24,the-worlds-end,9
MovieGuys,blancanieves,6
Marick,the-wolf-of-wall-street,10
Spangle,the-iceman,7
LaMagiadeVirue,pacific-rim,7
aadityamudhar,the-wolf-of-wall-street,8
MovieManiac83,the-hobbit-the-desolation-of-smaug,7
aadityamudhar,the-hobbit-the-desolation-of-smaug,8
TheWalrus2000,to-the-wonder,6
TheWalrus2000,the-place-beyond-the-pines,7
TheWalrus2000,amour,9
Compi24,the-great-gatsby,6
Spangle,the-great-gatsby,7
MovieGuys,admission,6
Broyax,erased,7
Spangle,the-place-beyond-the-pines,8
Compi24,42,8
Compi24,olympus-has-fallen,7
JohnnyStephens,the-great-gatsby,9
Compi24,the-place-beyond-the-pines,8
TheWalrus2000,spring-breakers,8
Spangle,now-you-see-me,7
devo-nc,the-great-gatsby,10
Compi24,world-war-z,7
MovieGuys,the-call,7
MovieGuys,42,8
Broyax,the-call,6
MovieGuys,barrymore,8
Spangle,trance,6
Moviebuffreview,pacific-rim,6
Spangle,pacific-rim,7
MovieGuys,now-you-see-me,6
Marick,the-great-gatsby,9
MovieGuys,stand-up-guys,7
Broyax,dragon,8
sinadoom,django-unchained,10
Spangle,promised-land,7
Spangle,side-effects-2013,8
Compi24,side-effects-2013,7
Spangle,the-impossible,8
MovieGuys,mama,7
MovieGuys,side-effects-2013,9
MovieGuys,olympus-has-fallen,8
JohnnyStephens,cloud-atlas,10
Broyax,side-effects-2013,6
JohnnyStephens,the-impossible,10
Spangle,world-war-z,7
Compi24,pacific-rim,8
MovieGuys,the-impossible,9
Spangle,gangster-squad,7
Compi24,django-unchained,9
MovieGuys,world-war-z,8
Compi24,lincoln,7
Compi24,silver-linings-playbook,9
MovieGuys,lincoln,10
Compi24,argo,9
Spangle,the-awakening,7
MovieGuys,seven-psychopaths,9
Spangle,argo,8
Spangle,silver-linings-playbook,8
Spangle,cloud-atlas,8
Spangle,seven-psychopaths,7
Compi24,seven-psychopaths,7
Compi24,cloud-atlas,9
Spangle,flight,7
Spangle,end-of-watch,8
Compi24,flight,7
